tf_ensembl,target_ensembl,tf_name,target_name,tf_is_marker,weight,tissue
ENSG00000003402,ENSG00000000971,CFLAR,CFH,FALSE,1.688938022,Heart
ENSG00000003402,ENSG00000103260,CFLAR,METRN,FALSE,0.685174315,Heart
ENSG00000003402,ENSG00000160593,CFLAR,JAML,FALSE,0.887129033,Heart
ENSG00000003402,ENSG00000160932,CFLAR,LY6E,FALSE,1.388883214,Heart
ENSG00000003402,ENSG00000162654,CFLAR,GBP4,FALSE,1.725638837,Heart
ENSG00000003402,ENSG00000101460,CFLAR,MAP1LC3A,FALSE,0.933617583,Heart
ENSG00000003402,ENSG00000101199,CFLAR,ARFGAP1,FALSE,0.922066036,Heart
ENSG00000003402,ENSG00000196531,CFLAR,NACA,FALSE,1.347961423,Heart
ENSG00000003402,ENSG00000100650,CFLAR,SRSF5,FALSE,0.974042615,Heart
ENSG00000003402,ENSG00000100316,CFLAR,RPL3,FALSE,1.55812316,Heart
ENSG00000003402,ENSG00000164035,CFLAR,EMCN,FALSE,1.626140242,Heart
ENSG00000003402,ENSG00000092054,CFLAR,MYH7,FALSE,1.201792751,Heart
ENSG00000003402,ENSG00000196735,CFLAR,HLA-DQA1,FALSE,2.707590867,Heart
ENSG00000003402,ENSG00000165795,CFLAR,NDRG2,FALSE,1.817965029,Heart
ENSG00000003402,ENSG00000166147,CFLAR,FBN1,FALSE,0.617792122,Heart
ENSG00000003402,ENSG00000166987,CFLAR,MBD6,FALSE,0.651239504,Heart
ENSG00000003402,ENSG00000167770,CFLAR,OTUB1,FALSE,0.952889397,Heart
ENSG00000003402,ENSG00000086504,CFLAR,MRPL28,FALSE,1.429159105,Heart
ENSG00000003402,ENSG00000077522,CFLAR,ACTN2,FALSE,2.723893433,Heart
ENSG00000003402,ENSG00000077009,CFLAR,NMRK2,FALSE,1.528097661,Heart
ENSG00000003402,ENSG00000076928,CFLAR,ARHGEF1,FALSE,1.326440545,Heart
ENSG00000003402,ENSG00000169905,CFLAR,TOR1AIP2,FALSE,1.221874009,Heart
ENSG00000003402,ENSG00000170889,CFLAR,RPS9,FALSE,2.376264684,Heart
ENSG00000003402,ENSG00000172270,CFLAR,BSG,FALSE,1.333282722,Heart
ENSG00000003402,ENSG00000173020,CFLAR,GRK2,FALSE,1.460247001,Heart
ENSG00000003402,ENSG00000165802,CFLAR,NSMF,FALSE,0.849405917,Heart
ENSG00000003402,ENSG00000173598,CFLAR,NUDT4,FALSE,1.039833621,Heart
ENSG00000003402,ENSG00000157873,CFLAR,TNFRSF14,FALSE,2.606897644,Heart
ENSG00000003402,ENSG00000196924,CFLAR,FLNA,FALSE,1.357737047,Heart
ENSG00000003402,ENSG00000129170,CFLAR,CSRP3,FALSE,2.353542288,Heart
ENSG00000003402,ENSG00000122862,CFLAR,SRGN,FALSE,1.549105787,Heart
ENSG00000003402,ENSG00000121769,CFLAR,FABP3,FALSE,1.229327062,Heart
ENSG00000003402,ENSG00000204628,CFLAR,RACK1,FALSE,1.454974792,Heart
ENSG00000003402,ENSG00000132879,CFLAR,FBXO44,FALSE,0.84251048,Heart
ENSG00000003402,ENSG00000119655,CFLAR,NPC2,FALSE,1.667841056,Heart
ENSG00000003402,ENSG00000114383,CFLAR,TUSC2,FALSE,1.064250009,Heart
